Station,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider,Zone
Aspen SA - Gents Ba,10122,59,67,48,40,48,-,-,-,-,-,-,0.0,-,0.5,-,AspenSkiCo,Aspen
Chair Mountain,10293,50,67,50,41,69,2,227,-,-,-,-,-,-,1.9,0.00,USGS,Aspen
Ivanhoe,10400,58,68,42,-,-,-,-,-,0.00,0.30,-,-,-,-,-,SNOTEL,Aspen
Snowmass SA MidMtn,10422,53,63,45,-,-,-,-,-,-,-,-,-,-,-,-,AspenSkiCo,Aspen
Hunter Creek,10497,50,67,45,40,67,3,169,-,-,-,-,-,-,-,0.00,USGS,Aspen
Independence Pass,10600,62,66,36,-,-,-,-,-,0.00,0.20,-,-,-,-,0.10,SNOTEL,Aspen
Aspen SA - Bell,10600,-,-,-,-,-,3,14,7,-,-,-,-,-,-,-,AspenSkiCo,Aspen
Sunlight,10604,55,64,43,46,72,7,200,-,-,-,-,-,-,-,-,METAR,Aspen
Schofield Pass,10700,54,67,40,27,37,3,222,10,0.00,0.40,-,-,-,0.0,-,SNOTEL,Aspen
Aspen SA - Gents To,11162,53,62,44,37,55,-,-,-,-,-,-,0.0,-,0.0,-,AspenSkiCo,Aspen
Snowmass SA Elk Cam,11379,47,61,43,38,69,5,20,9,-,-,-,-,-,-,-,AspenSkiCo,Aspen
Snowmass SA Timberl,11522,48,60,44,40,73,-,-,-,0.00,0.00,-,0.0,-,2.4,-,AspenSkiCo,Aspen
Aspen Highlands NWo,11800,46,54,44,-,-,-,-,-,-,-,-,-,-,-,-,AspenSkiCo,Aspen
Snowmass SA Big Bur,11933,45,56,44,31,58,8,202,31,-,-,-,-,-,-,-,AspenSkiCo,Aspen
Snowmass SA Alpine,11970,45,56,43,35,68,13,222,44,-,-,-,-,-,-,-,AspenSkiCo,Aspen
Independence Pass,12198,50,55,43,34,56,9,298,-,-,-,-,-,-,1.1,0.00,USGS,Aspen
,,,,,,,,,,,,,,,,,,Aspen
Paonia Reservoir nr,6480,71,86,45,-,-,-,-,-,-,-,-,-,-,-,-,HADS,Gunnison
Blue Mesa Dam nr Gu,7350,73,82,45,-,-,-,-,-,-,-,-,-,-,-,-,HADS,Gunnison
Gunnison Arpt,7674,71,80,42,43,36,23,330,34,-,-,-,-,-,-,-,METAR,Gunnison
CW1428 Gunnison,7717,70,83,40,48,45,4,94,17,-,-,-,-,-,-,-,APRSWXNET,Gunnison
Crested Butte,8860,60,77,-5,-,-,-,-,-,-,-,-,-,-,-,-,HADS,Gunnison
Crested Butte,8923,59,73,37,40,48,9,45,11,-,-,-,-,-,-,-,CDOT,Gunnison
Taylor Park,9169,44,48,11,-,-,-,-,-,-,-,-,-,-,-,-,HADS,Gunnison
Park Cone,9600,63,68,37,-,-,-,-,-,0.00,0.20,-,-,-,-,0.00,SNOTEL,Gunnison
Butte,10160,61,71,46,-,-,-,-,-,0.00,0.30,-,-,-,-,0.00,SNOTEL,Gunnison
Irwin Guides StudyP,10423,51,66,37,38,59,4,125,13,-,-,-,0.0,-,11.3,-,IrwinGuide,Gunnison
Taylor Park,10501,61,71,41,33,35,10,260,19,-,-,-,-,-,-,-,RAWS,Gunnison
Lake Irwin,10606,52,64,41,40,63,4,249,-,-,-,-,-,-,1.3,0.00,USGS,Gunnison
Upper Taylor,10640,53,65,39,-,-,-,-,-,0.10,0.30,-,-,-,-,-,SNOTEL,Gunnison
Dan K - Elkton,11147,47,63,47,34,59,6,304,21,0.01,0.01,-,12.9,-,0.0,-,DanK,Gunnison
Crested Butte Mtn R,11300,48,62,48,-,-,9,253,22,-,-,-,-,-,-,-,CBMR,Gunnison
Irwin Guides RidgeT,11985,44,56,44,34,69,14,261,25,-,-,-,-,-,-,-,IrwinGuide,Gunnison
Taylor Pass,12210,47,54,44,36,65,7,291,-,-,-,-,-,-,0.7,0.00,USGS,Gunnison
